Total Achievement | 37
capture  -  사로잡다, 획득하다, 손에 넣다 | 0,0,0
assign  -  (임무, 일 따위를) 부여하다, 할당하다 | 0,0,0
apologize  -  사죄하다, 사과하다 | 0,0,0
mass  -  다량, 다수, 많음 | 0,0,0
institute  -  연구소, 기관 | 0,0,0
highly  -  대단히, 매우 | 0,0,0
in spite of  -  ~에도 불구하고 | 0,0,0
consistent  -  ~와 일치 하는, 조화 하는, 일관된 | 0,0,0
consequently  -  결과적으로 | 0,0,0

Day 28
innovative  -  혁신적인 | 0,0,0
owe  -  빚지고 있다 | 0,0,0
candidate  -  후보자, 지원자 | 0,0,0
coal  -  석탄 | 0,0,0
uncomfortable  -  불편한 | 0,0,0
wander  -  어슬렁거리다, 배회하다, 방랑하다 | 0,0,0
robber  -  강도 | 0,0,0
military  -  군대의, 군사의 | 0,0,0
delight  -  (귀, 눈을) 즐겁게 하다 | 0,0,0
pump  -  ~에서 물을 퍼내다 | 0,0,0
aroma  -  향, 향기, 냄새 | 0,0,0
expense  -  비용 | 0,0,0
digest  -  소화하다 | 0,0,0
sniff  -  냄새를 맡다 | 1,0,0
square  -  정사각형, 평방, 제곱 | 0,0,0
angle  -  (수학) 각, 각도 | 0,0,0
retire  -  은퇴하다, 퇴직하다 | 0,0,0
distract  -  (마음, 주의 등을 딴 데로) 돌리다, 분산시키다, 주의를 산만하게 하다 | 0,0,0
vast  -  방대한, 막대한, 엄청난 | 0,0,0
on purpose  -  의도하여, 고의로, 일부러 | 0,0,0

Day 29
literally  -  글자 뜻 그대로, 문자 그대로 | 0,0,0
inability  -  무능, 무능력 | 0,0,0
account for  -  설명을 하다, 밝히다 | 0,0,0
empty  -  (그릇 따위를) 비우다 | 0,0,0
fictional  -  꾸며낸, 허구의, 소설적인, 가상의 | 0,0,0
fluid  -  액체, (동물, 식물의) 체액, 분비액 | 0,0,0
assist  -  돕다, 거들다 | 0,0,0
carpenter  -  목수, 목공 | 0,0,0
rating  -  등급, 평가, 판단 | 0,0,0
ingredient  -  (혼합물의) 성분 | 0,0,0
registration  -  등록 | 0,0,0
crawl  -  네발로 기다, 기어 다니다 | 0,0,0
discovery  -  발견 | 0,0,0
uncertainty  -  불확실성 | 0,0,0
friendly  -  호의적인, 친절한, 우호적인 | 0,0,0
protein  -  단백질 | 0,0,0
farther  -  더 멀리 | 0,0,0
stack  -  쌓아 올린 더미, 쌓아올리다 | 0,0,0
involuntary  -  무의식적 | 0,0,0
mosquito  -  모기 | 0,0,0

Day 30
broadcast  -  방송, 방영하다 | 0,0,0
bite  -  물다, 물어 뜯다 | 0,0,0
explanation  -  설명, 해설 | 0,0,0
emphasize  -  강조하다, 역설하다 | 0,0,0
quit  -  그만두다, 중지하다 | 0,0,0
drown  -  익사시키다, 익사하다 | 0,0,0
blank  -  (공간 등이) 빈, 텅 빈 | 0,0,0
key  -  주요한, 중요한, 중요한 것 | 0,0,0
forecast  -  기상 예보, (날씨를) 예보하다 | 0,0,0
advise  -  조언하다, 충고하다 | 0,0,0
content  -  만족한 | 0,0,0
fortune  -  운, 행운, 큰 재산, 부 | 0,0,0
chief  -  장관, 국장 | 0,0,0
horror  -  공포 | 0,0,0
obese  -  살찐, 뚱뚱한 | 0,0,0
charity  -  자애, 자비, 자선 단체, 자선 행위 | 0,0,0
resistance  -  저항, 저항력 | 0,0,0
factor  -  요인, 인자, 요소 | 0,0,0
all of a sudden  -  갑자기 | 0,0,0
accustomed  -  익숙한 | 0,0,0

Day 31
deadline  -  마감 시간 | 0,0,0
run out of  -  바닥나다, 고갈 되다 | 0,0,0
political  -  정치의, 정치적인 | 0,0,0
agreement  -  동의 | 0,0,0
analysis  -  분석 | 0,0,0
sighting  -  광경 | 0,0,0
lot  -  땅, 부지 | 0,0,0
wrap  -  싸다, 포장하다 | 0,0,0
point of view  -  관점 | 0,0,0
facial  -  얼굴의, 안면의 | 0,0,0
ideal  -  이상적인, 더할 나위 없는 | 0,0,0
classic  -  고전, 고전의 | 0,0,0
shade  -  그늘, 응달 | 0,0,0
rapid  -  가파른, 빠른 | 0,0,0
pronunciation  -  발음 | 0,0,0
lasting  -  지속되는, 오래가는 | 0,0,0
shortcut  -  지름길 | 0,0,0
drift  -  (바람이) 날려 보내다, 불어서 쌓이게 하다 | 0,0,0
notion  -  관념, 개념 | 0,0,0
immortal  -  죽지 않는, 영원히 사는 | 0,0,0

Day 32
preference  -  선호, 선호도 | 0,0,0
destination  -  (여행 등의) 목적지, 행선지 | 0,0,0
migration  -  이동, 이주 | 0,0,0
insight  -  통찰력, 간파 | 0,0,0
referee  -  심판 | 0,0,0
motivate  -  자극하다, ~에게 동기를 주다 | 0,0,0
terrify  -  겁나게 하다, 놀래다 | 0,0,0
offend  -  기분을 상하게 하다 | 0,0,0
fist  -  주먹 | 0,0,0
error  -  오류, 실수 | 0,0,0
persuasion  -  설득 | 0,0,0
charm  -  매력 | 0,0,0
dismiss  -  해고하다 | 0,0,0
surf  -  파도 타기를 하다, 인터넷 검색을 하다 | 0,0,0
illusion  -  착각, 환상, 환영 | 0,0,0
omit  -  빠뜨리다, 생략하다 | 0,0,0
sensation  -  센세이션, 반향, 감각, 지각 | 0,0,0
in terms of  -  ~에 관하여, ~의 점에서 | 0,0,0
stimulate  -  자극하다, 활발하게 하다 | 0,0,0
ultimately  -  결국에는, 궁극의 | 0,0,0

Day 33
deny  -  부인하다 | 0,0,0
criticism  -  비평, 비판 | 0,0,0
shelf  -  선반, 판매대 | 0,0,0
fulfill  -  (약속, 의무 따위를) 이행하다, 다하다, 성취하다 | 0,0,0
acceptance  -  인정, 받아들임 | 0,0,0
soak  -  적시다, 담그다 | 0,0,0
merry  -  명랑한, 유쾌한 | 0,0,0
ferry  -  나룻배 | 0,0,0
ambition  -  야심, 야망 | 0,0,0
tuition  -  수업료 | 0,0,0
medical  -  의학의, 의술의 | 0,0,0
slim  -  날씬한, 호리호리한 | 0,0,0
inform  -  ~에게 알리다, 알려주다 | 0,0,0
confirm  -  확인하다, 확실히 하다 | 0,0,0
greedy  -  욕심 많은, 탐욕스러운 | 0,0,0
persuade  -  설득하다 | 0,0,0
straighten  -  똑바르게 하다 | 0,0,0
relatively  -  상대적으로, 비교적으로 | 0,0,0
tendency  -  성질, 경향 | 0,0,0
obvious  -  명백한, 분명한 | 0,0,0

Day 34
disgusting  -  역겨운, 더러운 | 0,0,0
outstanding  -  탁월한 | 0,0,0
revive  -  되살아나게 하다 | 0,0,0
pollution  -  오염, 공해 | 0,0,0
dinosaur  -  공룡 | 0,0,0
embrace  -  껴안다, 포옹하다 | 0,0,0
offspring  -  자식, 자손 | 0,0,0
reserve  -  ~을 예약하다 | 1,0,0
broad  -  (경험, 식견 따위가) 넓은 | 0,0,0
attendant  -  시중드는 사람, 안내원 | 0,0,0
unable  -  ~할 수 없는 | 0,0,0
vivid  -  선명한, 생생한 | 0,0,0
illiterate  -  글을 모르는, 무식한, 문맹의, 무학의 | 0,0,0
carbon dioxide  -  이산화탄소 | 0,0,0
back and forth  -  앞뒤로, 왕복으로 | 0,0,0
occurrence  -  (사건의) 발생, 일어남 | 0,0,0
distribute  -  분배하다, 배포하다 | 0,0,0
what if  -  만일 ~라면 어떨까 | 0,0,0
minimum  -  최저 한도의 | 0,0,0
in that  -  ~라는 점에서 | 0,0,0

Day 35
specimen  -  (동식물의) 표본 | 0,0,0
thrive  -  잘 자라다, 무성하다 | 0,0,0
controversy  -  논쟁, 논의 | 0,0,0
preserve  -  보존하다 | 0,0,0
ad  -  광고 | 0,0,0
hopeless  -  희망 없는 | 0,0,0
vocation  -  직업, 생업 | 0,0,0
contagiousness  -  전염성 | 0,0,0
addiction  -  중독 | 0,0,0
threaten  -  (위해, 위험 등이) ~을 위협하다 | 0,0,0
cooperate  -  협력하다, 협동하다 | 1,0,0
recover  -  회복하다, 낫다 | 0,0,0
realm  -  영역, 범위 | 0,0,0
dread  -  두려워하다 | 0,0,0
engaged  -  몰두한 | 0,0,0
bias  -  편견, 선입견 | 0,0,0
tray  -  접시 | 0,0,0
faithfully  -  충실히, 성실히 | 0,0,0
beam  -  전파 | 0,0,0
reap  -  수확하다, (보답 따위를) 받다 | 0,0,0

Day 36
embarrassment  -  당황 | 0,0,0
technology  -  기술 | 0,0,0
applause  -  박수 갈채 | 0,0,0
publishing  -  출판 | 0,0,0
phrase  -  성구, 관용구 | 0,0,0
measurement  -  측정 | 0,0,0
nobility  -  귀족 | 0,0,0
maid  -  가정부 | 0,0,0
optimistic  -  낙관적인, 낙천적인 | 0,0,0
sewage  -  하수, 오수 | 0,0,0
desert  -  버리다 | 0,0,0
confess  -  고백하다, 자백하다, 실토하다 | 0,0,0
restore  -  복원하다, 되찾다 | 0,0,0
fashionable  -  유행을 따른, 유행의 | 0,0,0
undergo  -  경험하다, 겪다, 당하다 | 0,0,0
assistant  -  조수, 보좌역 | 0,0,0
derive  -  얻다, 획득하다 | 0,0,0
find out  -  알아내다 | 0,0,0
immortality  -  불사, 불멸, 영생 | 0,0,0
periodically  -  주기적으로 | 0,0,0

Day 37
fatigue  -  피로 | 0,0,0
remark  -  소견, 비평, 말, 말하다 | 0,0,0
wherever  -  어디든지 ~하는 곳에 | 0,0,0
rectangular  -  직사각형의, 직각의 | 0,0,0
celebration  -  축하, 축전, 의식 | 0,0,0
lift  -  들어올리다 | 0,0,0
ultimate  -  최종적인, 궁극적인 | 0,0,0
notify  -  ~에게 ~을 알리다, 통지하다, ~에 신고하다 | 0,0,0
lick  -  핥다 | 0,0,0
arrogance  -  오만, 거만 | 0,0,0
logically  -  논리적으로 | 0,0,0
innate  -  타고난, 천부의, 선천적인 | 0,0,0
bundle  -  꾸러미, 묶음 | 0,0,0
row  -  열, 줄 | 0,0,0
indigestion  -  소화 불량 | 0,0,0
understanding  -  이해심이 있는 | 0,0,0
industrialized  -  산업화된, 선진국의 | 0,0,0
contamination  -  오염, 더러움 | 0,0,0
proverb  -  속담, 격언 | 0,0,0
likelihood  -  가능성 | 0,0,0

Day 38
assess  -  평가하다 | 0,0,0
skinny  -  바싹 여윈, 날씬한 | 0,0,0
compassion  -  동정, 동정심 | 0,0,0
violation  -  위반, 반칙 | 0,0,0
democratic  -  민주적인 | 0,0,0
absurd  -  터무니없는 | 0,0,0
passenger  -  승객 | 0,0,0
medicine  -  약, 약물 | 0,0,0
curve  -  구부러지다 | 0,0,0
await  -  기다리다 | 0,0,0
philosophy  -  철학 | 0,0,0
consumer  -  소비자 | 0,0,0
leak  -  (물이) 새다, 새어나 오다 | 0,0,0
magnificent  -  웅장한, 장엄한 | 0,0,0
nag  -  잔소리하다, 잔소리로 괴롭히다 | 0,0,0
follower  -  (학자의) 문하, 제자 | 0,0,0
irrational  -  비이성적인, 불합리한, 분별이 없는 | 0,0,0
definitely  -  확실히, 틀림없이, 분명히 | 0,0,0
somewhere  -  어딘가에서 | 0,0,0
universal  -  보편적인, 일반적인 | 0,0,0

Day 39
revenge  -  보복, 복수 | 0,0,0
ash  -  재, 화산재 | 0,0,0
temple  -  사원 | 0,0,0
greed  -  탐욕, 욕심 | 0,0,0
rotation  -  회전 | 0,0,0
possession  -  소유, 소유물 | 1,0,0
exploration  -  탐사, 탐험 | 0,0,0
immoral  -  부도덕한 | 0,0,0
envy  -  질투 | 0,0,0
placement  -  배치 | 0,0,0
religion  -  종교 | 0,0,0
install  -  설치하다 | 0,0,0
adventure  -  모험 | 0,0,0
insane  -  미친, 광기의 | 0,0,0
dense  -  밀집한, 밀도가 높은, 짙은 | 0,0,0
heighten  -  높게 하다, 높이다 | 0,0,0
edit  -  편집하다 | 0,0,0
cancel  -  취소하다 | 0,0,0
optimal  -  최선의, 최적의 | 0,0,0
above all  -  무엇보다도 | 0,0,0

Day 40
supervise  -  관리하다, 감독하다 | 0,0,0
temper  -  침착, 평정 | 0,0,0
seal  -  밀폐하다, 닫다, ~에 봉인하다 | 0,0,0
sting  -  (침 따위로) 찌르다, 쏘다 | 0,0,0
desperation  -  절망, 절망감, 자포자기 | 0,0,0
excellence  -  우수함, 탁월성 | 0,0,0
hybrid  -  혼성의, 혼합 | 0,0,0
enroll  -  등록하다 | 0,0,0
prosper  -  번식하다, 번영하다 | 0,0,0
ankle  -  발목 | 0,0,0
revolution  -  혁명, 변혁 | 0,0,0
welfare  -  복지, 번영 | 0,0,0
biology  -  생물학, 생태학 | 0,0,0
complexity  -  복잡성 | 0,0,0
hug  -  포옹, 껴안다 | 0,0,0
destruction  -  파괴 | 0,0,0
severe  -  극한의 | 0,0,0
homesick  -  향수병 | 0,0,0
interval  -  (시간적인) 간격, 사이 | 0,0,0
particularly  -  특히 | 0,0,0

Day 41
call for  -  요구하다 | 0,0,0
flip  -  (손가락으로) 튀기다, 홱 던지다 | 0,0,0
digestive  -  소화의 | 0,0,0
shed  -  (눈물, 피 등을) 흘리다 | 0,0,0
mixture  -  혼합, 혼합물 | 0,0,0
permission  -  허가, 허락, 허용 | 0,0,0
alive  -  살아있는, 원기 왕성하여 | 0,0,0
inequality  -  불평등, 불공평 | 0,0,0
exclusion  -  제외, 배제 | 0,0,0
hygiene  -  위생 | 0,0,0
code  -  규약, 규칙, 규정 | 0,0,0
strive  -  얻으려고 애쓰다, 노력하다 | 0,0,0
commit  -  (죄, 과실을) 범하다, 저지르다 | 1,0,0
sincere  -  성실한, 진실한 | 0,0,0
law  -  법률, 법 | 0,0,0
startle  -  깜짝 놀라게 하다 | 1,0,0
shipwreck  -  난파, (배가) 난파하다 | 0,0,0
celebrated  -  유명한 | 0,0,0
intuitive  -  직관적인 | 0,0,0
respectively  -  각각, 각각의 | 0,0,0

Day 42
simulate  -  ~을 가장하다, 흉내내다, 모방하다 | 0,0,0
discontent  -  불만 | 1,0,0
inappropriate  -  부적당한 | 0,0,0
swallow  -  제비, 삼키다 | 0,0,0
instructor  -  교사, 선생, 교관 | 0,0,0
clarify  -  분명하게 하다 | 0,0,0
tiring  -  힘든, 지치게 하는 | 0,0,0
grip  -  꽉 쥠, 잡음 | 0,0,0
executive  -  간부, 중역, 관리직, 경영진 | 1,0,0
humble  -  시시한, 변변찮은, 초라한, 겸손한 | 0,0,0
mobile  -  이동성이 있는, 기동성이 있는 | 1,0,0
professor  -  교수 | 0,0,0
cynical  -  냉소적인 | 0,0,0
establish  -  (제도, 법률 등을) 제정하다, 설립하다, 확립하다 | 0,0,0
pension  -  연금 | 0,0,0
lifespan  -  수명 | 0,0,0
survival  -  생존, 살아 남음 | 0,0,0
prompt  -  촉진하다 | 0,0,0
update  -  새롭게 하다, 최신의 것으로 하다 | 0,0,0
only if  -  ~의 경우만 | 0,0,0

Day 43
conceal  -  숨기다, 감추다, 비밀로 하다 | 0,0,0
grin  -  씩 웃다 | 1,0,0
firm  -  단단한, 회사 | 0,0,0
royalty  -  왕족 | 0,0,0
acute  -  민감한, 빈틈없는 | 0,0,0
remote  -  먼, 멀리 떨어진 | 0,0,0
excess  -  과다, 초과 | 0,0,0
antibiotic  -  항생물질 | 0,0,0
craftsman  -  장인, 기공 | 0,0,0
blister  -  물집 | 0,0,0
violate  -  침해하다, 위반하다 | 0,0,0
gallery  -  화랑, 미술관 | 0,0,0
deprive  -  빼앗다, 박탈하다 | 0,0,0
additive  -  부가물, 첨가물, 첨가제 | 0,0,0
version  -  ~판 | 0,0,0
casually  -  격이 없는 | 0,0,0
sow  -  (씨를) 뿌리다 | 0,0,0
longevity  -  장수 | 0,0,0
instantly  -  즉각, 즉시 | 0,0,0
at the cost of  -  ~을 희생으로 하여 | 0,0,0

Day 44
innovative  -  혁신적인 | 0,0,0
owe  -  빚지고 있다 | 0,0,0
candidate  -  후보자, 지원자 | 0,0,0
coal  -  석탄 | 0,0,0
uncomfortable  -  불편한 | 0,0,0
wander  -  어슬렁거리다, 배회하다, 방랑하다 | 0,0,0
robber  -  강도 | 0,0,0
military  -  군대의, 군사의 | 0,0,0
delight  -  (귀, 눈을) 즐겁게 하다 | 0,0,0
pump  -  ~에서 물을 퍼내다 | 0,0,0
aroma  -  향, 향기, 냄새 | 0,0,0
expense  -  비용 | 0,0,0
digest  -  소화하다 | 0,0,0
sniff  -  냄새를 맡다 | 1,0,0
square  -  정사각형, 평방, 제곱 | 0,0,0
angle  -  (수학) 각, 각도 | 0,0,0
retire  -  은퇴하다, 퇴직하다 | 0,0,0
distract  -  (마음, 주의 등을 딴 데로) 돌리다, 분산시키다, 주의를 산만하게 하다 | 0,0,0
vast  -  방대한, 막대한, 엄청난 | 0,0,0
on purpose  -  의도하여, 고의로, 일부러 | 0,0,0

Day 45
those  -  사람들 | 0,0,0
cosmetic  -  화장용의, 미용의, 화장품 | 0,0,0
extend  -  확대하다, 확장하다 | 0,0,0
patrol  -  순찰하다, 순회하다 | 0,0,0
whiten  -  하얗게 하다, 표백하다 | 0,0,0
grill  -  굽다, 불에 굽다 | 0,0,0
scribble  -  갈겨 쓰다 | 0,0,0
herb  -  식용 식물 | 0,0,0
minimize  -  최소로 하다 | 1,0,0
peel  -  (과일의) 껍질, 껍질을 벗기다 | 1,0,0
intimacy  -  친밀감 | 0,0,0
reduction  -  절약, 절감, 감소 | 0,0,0
accommodation  -  (호텔, 객선, 여객기, 병원의) 숙박 | 0,0,0
insecure  -  불안정한, 불안전한 | 0,0,0
patent  -  특허, 특허권 | 0,0,0
license  -  면허, 인가, ~에게 면허를 주다 | 0,0,0
equipment  -  장비, 설비 | 0,0,0
firmly  -  단호하게 | 0,0,0
in place of  -  대신해서, 대체해서 | 0,0,0
deed  -  행위, 행동 | 0,0,0

Day 46
embarrassment  -  당황 | 0,0,0
technology  -  기술 | 0,0,0
applause  -  박수 갈채 | 0,0,0
publishing  -  출판 | 0,0,0
phrase  -  성구, 관용구 | 0,0,0
measurement  -  측정 | 0,0,0
nobility  -  귀족 | 0,0,0
maid  -  가정부 | 0,0,0
optimistic  -  낙관적인, 낙천적인 | 0,0,0
sewage  -  하수, 오수 | 0,0,0
desert  -  버리다 | 0,0,0
confess  -  고백하다, 자백하다, 실토하다 | 0,0,0
restore  -  복원하다, 되찾다 | 0,0,0
fashionable  -  유행을 따른, 유행의 | 0,0,0
undergo  -  경험하다, 겪다, 당하다 | 0,0,0
assistant  -  조수, 보좌역 | 0,0,0
derive  -  얻다, 획득하다 | 0,0,0
find out  -  알아내다 | 0,0,0
immortality  -  불사, 불멸, 영생 | 0,0,0
periodically  -  주기적으로 | 0,0,0

Day 47
supervisor  -  관리자, 감독자, 상사 | 0,0,0
trauma  -  정신적 외상 | 0,0,0
circulation  -  순환 | 0,0,0
ugly  -  추한, 못생긴 | 0,0,0
local  -  (특정한) 지방의, 고장의 | 0,0,0
fast  -  단식하다 | 0,0,0
substitute  -  대체품, 대용품, 대신하다, 대체하다 | 0,0,0
unease  -  불안, 걱정 | 0,0,0
buildup  -  증대, 형성 | 0,0,0
recipient  -  받는 이, 수령인 | 0,0,0
vary  -  변화하다, 다르다 | 0,0,0
poet  -  시인 | 0,0,0
honeymoon  -  신혼 여행 | 0,0,0
dedicated  -  헌신적인 | 0,0,0
egocentric  -  자기 중심의, 이기적인 | 0,0,0
discard  -  (쓸데없는 것, 습관, 신앙 따위를) 버리다 | 0,0,0
psychology  -  심리, 심리학 | 0,0,0
following  -  다음의 | 0,0,0
insignificant  -  하찮은, 사소한 | 0,0,0
oriented  -  ~지향의, 좋아하는, 본위의, 중심으로 한 | 1,0,0

Day 48
genius  -  천재 | 0,0,0
misbehave  -  무례한 행동을 하다, 나쁜 짓을 하다 | 0,0,0
fold  -  접다, 접어 포개다 | 0,0,0
capital  -  자본, 자본금 | 0,0,0
announcement  -  알림, 공고, 통보, 발표 | 0,0,0
tender  -  부드러운 | 0,0,0
distinctive  -  독특한, 특이한, 구별이 분명한 | 0,0,0
organic  -  유기농의 | 0,0,0
journal  -  잡지, 정기 간행물 | 0,0,0
gigantic  -  엄청나게 큰 | 0,0,0
get over  -  극복하다 | 0,0,0
misunderstand  -  오해하다, 잘못 생각하다 | 0,0,0
combination  -  결합, 짝맞추기, 조직 | 0,0,0
unconscious  -  무의식의 | 0,0,0
plastic bag  -  비닐 봉투 | 0,0,0
abundant  -  풍부한, 많은 | 0,0,0
priest  -  성직자 | 0,0,0
insert  -  끼워 넣다, 삽입하다 | 0,0,0
generosity  -  관대함 | 0,0,0
forbid  -  금하다, 허락하지 않다 | 0,0,0

Day 49
assure  -  ~에게 보증하다, 보장하다, 확신시키다 | 0,0,0
durable  -  오래 견디는, 튼튼한, 내구력이 있는 | 0,0,0
clumsy  -  솜씨 없는, 서투른 | 0,0,0
alarming  -  놀라운, 걱정스러운 | 0,0,0
unwilling  -  내키지 않는, ~하려 하지 않는 | 0,0,0
temporary  -  일시적인 | 0,0,0
dumb  -  멍청한, 쓸데 없는 | 0,0,0
mow  -  (풀, 보리 따위를) 베다, 베어내다, 깎다 | 0,0,0
extract  -  이끌어내다, 뽑아내다, 빼어내다 | 0,0,0
compromise  -  타협, 타협하다, 절충하여 처리하다 | 0,0,0
humane  -  인도적인, 인정 있는 | 0,0,0
modify  -  수정하다, 변경하다 | 0,0,0
trainee  -  (직업) 훈련생, 연수생 | 0,0,0
aggression  -  공격, 침략, 침범 | 0,0,0
heritage  -  (대대로) 물려받은 것, 유산 | 0,0,0
criminal  -  범죄자 | 0,0,0
decent  -  쓸만한, 남부끄럽지 않은 | 0,0,0
as a whole  -  전반적으로 | 0,0,0
simplify  -  단순화하다 | 0,0,0
and so on  -  기타 등등 | 0,0,0

Day 50
masterpiece  -  걸작, 명작 | 0,0,0
needle  -  바늘 | 0,0,0
insecurity  -  불안정, 위험성 | 0,0,0
discharge  -  (물, 연기 등을) 방출하다 | 0,0,0
carefree  -  근심이 없는, 걱정이 없는 | 0,0,0
enrollment  -  등록 | 0,0,0
decode  -  해독하다 | 1,0,0
sentiment  -  감정, 정서 | 0,0,0
finance  -  ~에 자금을 공급하다 | 0,0,0
lottery  -  복권 뽑기 | 0,0,0
erase  -  ~을 지우다 | 0,0,0
prioritize  -  우선시 하다 | 0,0,0
pray  -  빌다, 기도하다 | 0,0,0
saw  -  톱 | 0,0,0
collision  -  충돌 | 0,0,0
fragment  -  조각, 파편, 일부 | 0,0,0
conserve  -  보존하다 | 0,0,0
collapse  -  붕괴하다, 무너지다 | 0,0,0
keenly  -  날카롭게, 강하게 | 0,0,0
nonprofitable  -  이익이 되지 않는 | 0,0,0
